Date,Département,Marque,Modele,Annee,Km,Cabine,Boîte vitesse,Carburant,Puissance réelle (ch),Prix (TTC),Carrosserie,Coffre,Réhausse,Date installation benne,Mention benne JPM,Garantie (mois),Lien,S1 vendu,S2 vendu,S4 vendu,Modification Prix,Prix initial
19/01/2020,21,Iveco,Daily,2017,48953,SC,Manuelle,Diesel,140,27000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1853966213.htm,Non,Oui,Oui,,
19/01/2020,31,Nissan,Cabstar,2016,70600,SC,Manuelle,Diesel,130,19000,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1896578753.htm,Non,Non,Oui,,
19/01/2020,12,Renault,Master,2012,151000,SC,Manuelle,Diesel,145,16200,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1906500549.htm,Non,Non,Non,,
19/01/2020,31,Ford,Transit,2017,71000,SC,Manuelle,Diesel,170,22500,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1915980008.htm?ac=206978287,Non,Oui,Oui,,
19/01/2020,33,Ford,Transit,2015,121000,SC,Manuelle,Diesel,155,14990,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1913335990.htm,Non,Oui,Oui,,
19/01/2020,51,Fiat,Ducato,2017,67369,DC,Manuelle,Diesel,130,19992,Benne origine,Oui,Non,NA,NA,3,https://www.leboncoin.fr/utilitaires/1913744418.htm,Non,Non,Non,,
19/01/2020,86,Iveco,Daily,2018,29860,DC,Manuelle,Diesel,136,29880,Benne origine,Oui,Non,NA,JPM,12,https://www.leboncoin.fr/utilitaires/1880504227.htm,Non,Oui,Oui,,
20/01/2020,33,Ford,Transit,2015,60000,SC,Manuelle,Diesel,150,19500,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1920726478.htm?ac=206978287,Non,Non,Non,,
20/01/2020,59,Iveco,Daily,2019,34000,SC,Manuelle,Diesel,210,40800,Benne origine,Oui,Oui,NA,JPM,0,https://www.leboncoin.fr/utilitaires/1906866576.htm,Non,Non,Oui,,
20/01/2020,74,Renault,Master,2008,125000,SC,Manuelle,Diesel,120,10000,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1920752257.htm?ac=206978287,Non,Non,Non,,
20/01/2020,56,Renault,Master,2014,106300,SC,Manuelle,Diesel,165,17990,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1893138064.htm,Non,Non,Non,,
20/01/2020,47,Iveco,Daily,2015,88000,DC,Manuelle,Diesel,126,18000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1884672103.htm,Non,Non,Oui,,
20/01/2020,47,Iveco,Daily,2014,112000,DC,Manuelle,Diesel,126,17000,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1899702916.htm,Non,Non,Oui,,
20/01/2020,56,Peugeot,Boxer,2006,205600,SC,Manuelle,Diesel,127,11990,Benne origine,Oui,Oui,NA,NA,3,https://www.leboncoin.fr/utilitaires/1884776966.htm,Non,Non,Oui,,
20/01/2020,18,Iveco,Daily,2010,210000,SC,Manuelle,Diesel,126,9500,Benne origine,Non,Oui,NA,NA,0,https://www.leboncoin.fr/utilitaires/1914358824.htm,Non,Non,Non,,
20/01/2020,21,Fiat,Ducato,2016,94010,SC,Manuelle,Diesel,130,17760,Benne origine,Non,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1854290441.htm,Non,Non,Oui,,
20/01/2020,34,Renault,Master,2013,132000,SC,Manuelle,Diesel,150,17900,Benne origine,Oui,Non,NA,NA,0,https://www.leboncoin.fr/utilitaires/1909816641.htm,Non,Non,Non,,
